IDMachine,IDSeance,PoidsMax,RythmeCardiaque
,48,28,96.87,91
,4,938,88.73,70
,39,310,180.45,91
,29,527,153.35,62
,1,282,120.52,83
,47,595,81.85,103
,2,307,49.57,180
,33,594,88.96,157
,57,474,60.67,141
,39,522,167.57,119
,17,949,59.39,140
,7,152,45.2,112
,85,199,80.43,149
,61,619,28.25,161
,10,41,152.9,135
,64,877,34.78,153
,15,660,169.1,170
,41,768,87.15,129
,17,545,185.31,83
,2,253,62.07,130
,39,325,112.7,75
,19,54,83.82,127
,95,588,80.46,144
,35,375,178.82,120
,81,301,114.14,78
,17,296,156.68,65
,89,956,58.07,62
,40,561,26.48,128
,79,390,142.63,162
,62,280,121.4,72
,20,896,132.8,93
,15,768,114.09,71
,41,135,196.15,140
,87,420,123.79,175
,19,785,66.71,151
,47,274,72.9,100
,4,629,84.55,167
,16,282,161.29,72
,35,554,166.69,171
,11,592,40.86,121
,48,611,171.16,166
,15,379,159.11,166
,94,946,122.19,86
,94,992,193.36,106
,88,33,128.95,79
,35,151,61.27,162
,77,338,55.32,123
,36,167,131.43,87
,45,50,60.43,62
,56,843,14.3,74
,46,138,67.74,71
,93,44,122.11,99
,42,546,85.52,169
,48,466,101.73,78
,72,428,80.79,136
,51,265,33.53,135
,30,625,160.05,165
,71,674,159.79,64
,20,647,28.38,134
,91,28,154.36,83
,96,326,158.75,70
,52,381,168.45,130
,87,90,132.02,60
,25,532,51.4,136
,5,948,62.96,100
,10,846,99.01,145
,22,382,10.33,131
,58,494,115.9,88
,55,26,87.6,172
,63,465,73.87,174
,52,363,157.09,80
,53,550,52.35,126
,81,208,148.61,116
,28,643,36.12,64
,99,576,92.52,132
,60,236,12.5,98
,41,395,164.39,94
,16,900,137.07,63
,12,186,164.21,138
,79,125,150.18,100
,51,702,169.82,112
,19,118,35.26,138
,96,671,121.5,168
,67,140,159.79,90
,37,688,193.94,103
,59,184,169.24,98
,23,887,145.97,95
,94,598,139.8,167
,43,943,134.34,119
,100,144,113.78,154
,59,540,142.82,113
,40,132,34.21,131
,86,335,87.72,164
,34,308,170.08,163
,61,951,79.85,162
,15,433,65.5,176
,51,333,158.71,119
,82,276,196.33,173
,24,949,192.2,136
,58,197,138.23,172
,94,846,179.29,108
,17,561,99.81,170
,19,158,144.11,178
,51,66,43.24,177
,70,177,84.45,157
,35,268,32.7,90
,77,668,153.88,138
,52,757,186.14,130
,24,714,134.09,117
,40,854,171.99,71
,59,854,22.41,178
,89,942,157.16,110
,5,966,112.67,147
,17,943,46.81,134
,83,523,138.33,161
,63,284,55.12,99
,93,285,176.51,172
,82,905,30.09,107
,97,714,133.66,174
,14,883,143.15,172
,61,666,62.62,74
,29,70,12.82,142
,95,346,184.13,117
,17,657,18.18,118
,37,160,112.88,102
,88,724,35.21,73
,31,470,19.72,76
,44,289,188.5,69
,12,377,199.53,81
,26,550,125.43,138
,51,571,16.86,116
,19,317,173.29,96
,32,575,112.2,121
,87,539,20.57,121
,70,189,113.43,164
,72,396,107.72,131
,17,474,16.28,95
,45,776,63.84,148
,52,873,174.02,147
,73,401,137.87,160
,27,584,58.34,134
,79,442,110.36,117
,13,394,119.96,97
,27,927,122.73,81
,53,702,16.67,101
,71,11,55.48,135
,80,945,11.56,62
,43,100,76.26,73
,34,811,105.72,147
,1,509,27.24,133
,84,123,83.19,155
,15,810,178.18,82
,15,360,162.26,139
,43,202,85.76,70
,37,637,51.63,62
,17,448,190.97,145
,63,621,21.41,130
,91,492,56.97,63
,16,668,193.79,89
,16,131,155.96,73
,54,617,167.01,87
,11,825,189.39,95
,35,225,40.66,132
,41,852,178.27,99
,4,698,153.0,152
,92,10,65.9,147
,93,522,158.34,67
,54,783,67.09,85
,64,997,92.45,153
,92,477,95.84,177
,20,26,62.81,103
,82,989,65.23,124
,17,53,148.84,125
,79,497,169.05,80
,72,317,111.04,176
,85,247,111.53,161
,41,332,78.02,112
,60,678,95.8,78
,94,505,23.42,147
,40,793,167.41,74
,60,997,43.72,178
,21,705,45.79,120
,50,972,162.9,106
,42,450,196.02,179
,37,532,105.58,85
,25,662,152.74,94
,92,862,97.28,94
,44,150,153.68,82
,58,593,172.64,129
,18,19,154.77,158
,33,494,103.05,126
,84,236,155.88,114
,14,134,104.84,120
,65,299,150.57,140
,76,998,106.04,144
,99,171,154.58,84
,92,43,25.73,95
,66,348,21.35,80
,6,688,157.94,107
,2,180,105.76,119
,12,817,161.99,79
,77,610,189.8,85
,68,737,69.64,90
,100,125,122.59,149
,89,923,100.85,153
,60,756,94.57,61
,30,393,57.48,169
,74,346,80.93,102
,78,767,161.69,93
,75,562,176.4,93
,70,52,144.52,177
,80,798,145.14,77
,86,83,48.72,122
,90,747,195.3,129
,15,817,22.3,74
,13,20,126.23,175
,93,404,85.9,140
,80,833,99.69,83
,19,150,175.99,132
,84,234,153.78,129
,1,74,166.76,150
,70,223,27.51,77
,49,446,117.65,127
,25,72,128.92,149
,24,839,124.59,103
,40,670,94.92,160
,65,295,128.71,173
,25,809,39.11,98
,58,484,97.72,145
,39,611,85.68,61
,87,871,140.7,104
,95,412,36.97,74
,54,929,40.43,170
,80,113,181.64,148
,21,692,176.6,82
,55,549,104.78,165
,49,975,97.21,102
,84,560,64.47,100
,88,652,144.69,102
,4,132,33.18,140
,53,189,158.07,121
,51,708,47.47,88
,66,327,178.03,130
,67,498,128.65,93
,62,944,100.44,132
,16,913,184.33,76
,1,861,97.6,153
,12,293,47.08,90
,85,204,17.54,76
,64,15,184.63,141
,53,126,197.72,171
,65,504,119.08,105
,43,124,194.35,154
,92,866,82.0,138
,38,408,89.19,77
,80,9,126.82,65
,76,596,61.39,106
,98,378,183.43,112
,4,718,55.13,177
,78,159,185.07,98
,42,624,146.67,99
,17,551,174.35,140
,49,769,66.75,124
,83,314,80.3,100
,8,375,175.16,168
,17,161,141.48,137
,21,189,125.76,111
,51,369,33.68,172
,7,609,29.64,145
,1,891,162.66,96
,92,183,32.1,139
,44,536,140.86,163
,41,990,42.27,127
,70,122,20.02,144
,58,980,127.67,160
,99,581,22.4,150
,84,976,181.59,133
,70,317,86.19,120
,2,677,78.98,126
,91,119,143.05,91
,2,925,16.35,108
,85,343,140.81,128
,82,163,130.49,130
,27,851,187.73,151
,83,49,182.2,143
,23,958,148.36,147
,29,210,25.53,167
,63,656,189.28,118
,19,738,160.87,126
,55,779,54.9,158
,79,528,11.24,174
,29,74,60.02,167
,61,673,115.42,96
,89,383,172.55,98
,58,567,170.49,141
,48,588,83.99,141
,69,289,33.6,128
,71,127,153.34,109
,15,415,110.02,139
,50,703,50.29,178
,62,236,24.2,102
,92,189,187.85,82
,79,682,168.72,94
,4,993,16.23,147
,44,341,163.66,71
,16,91,121.34,91
,73,967,155.2,116
,63,295,174.25,105
,87,937,134.92,67
,41,950,129.14,157
,21,265,58.82,103
,79,80,150.57,140
,39,931,134.81,178
,59,220,139.55,135
,9,854,176.23,172
,7,379,22.5,69
,66,188,24.89,93
,80,950,158.34,171
,84,601,193.98,92
,46,134,98.91,147
,43,81,147.81,137
,63,110,20.01,83
,87,949,60.27,88
,62,900,140.99,132
,34,205,151.86,147
,63,676,87.98,136
,92,140,116.18,120
,47,556,52.92,154
,46,662,59.56,104
,29,620,134.82,180
,50,376,94.44,177
,71,649,77.25,112
,86,768,43.63,104
,11,968,119.19,102
,99,386,21.85,148
,80,467,51.59,62
,4,573,83.42,61
,61,534,137.94,141
,71,509,71.21,140
,96,621,71.68,62
,36,886,31.94,99
,66,599,142.91,121
,91,462,159.15,121
,37,19,17.44,164
,92,928,90.18,156
,95,492,74.87,97
,22,670,117.5,157
,90,37,175.54,103
,49,289,130.94,169
,12,696,19.19,137
,78,4,130.12,175
,61,558,62.72,97
,69,753,170.72,163
,71,408,32.71,136
,15,911,82.89,178
,69,734,44.22,171
,69,289,36.41,75
,90,913,144.2,167
,59,805,69.46,146
,63,581,97.13,75
,89,21,52.99,90
,59,578,125.14,115
,98,824,24.17,157
,44,601,102.56,67
,1,175,181.73,111
,31,289,82.87,125
,2,203,182.51,163
,48,237,77.94,67
,36,333,59.4,68
,13,67,138.18,176
,48,173,173.57,144
,83,244,138.08,134
,37,348,176.93,125
,100,493,10.91,119
,50,907,39.32,128
,71,175,49.19,104
,73,527,12.91,131
,100,892,195.3,157
,47,91,114.83,77
,15,181,91.5,78
,89,325,42.41,148
,36,380,107.35,90
,70,753,73.94,136
,21,919,32.38,109
,14,801,73.68,127
,67,736,35.15,128
,20,348,42.78,105
,73,561,39.22,99
,90,854,162.6,96
,29,57,110.72,82
,90,6,153.27,64
,82,285,122.53,67
,47,475,48.7,126
,98,574,28.09,128
,70,663,41.36,68
,21,692,143.29,87
,77,289,106.17,145
,4,515,34.53,123
,21,422,151.58,178
,23,215,115.37,118
,99,944,37.32,116
,47,527,165.89,103
,47,521,152.66,157
,75,778,83.37,133
,39,862,88.41,94
,96,488,169.01,137
,28,236,168.95,132
,91,329,94.48,99
,66,50,116.78,112
,40,326,181.83,106
,66,88,175.03,61
,27,477,80.52,88
,85,976,96.79,118
,26,269,168.07,169
,65,770,61.34,93
,34,395,159.61,152
,33,863,45.38,118
,69,872,152.4,65
,92,281,18.53,118
,14,667,47.99,136
,50,185,81.58,79
,18,250,18.91,84
,50,112,128.79,179
,66,955,75.26,118
,80,164,181.36,71
,61,925,99.58,87
,71,688,158.13,155
,23,14,11.65,166
,22,412,161.23,164
,72,528,106.46,114
,29,828,38.53,148
,95,367,189.9,148
,28,647,15.28,83
,61,842,139.63,85
,19,743,11.15,72
,29,436,177.04,120
,50,965,84.05,88
,17,277,143.24,180
,64,196,173.85,99
,25,802,152.51,145
,62,23,59.31,168
,74,55,40.49,111
,72,417,100.09,113
,3,473,29.54,105
,99,839,57.42,104
,46,518,38.64,78
,99,914,131.42,136
,93,199,168.03,165
,82,932,74.38,107
,34,739,162.02,140
,97,567,62.97,63
,57,805,62.96,142
,20,856,127.99,143
,5,106,166.82,116
,1,519,81.72,157
,95,728,84.17,169
,82,507,107.79,75
,39,719,28.44,67
,44,572,74.44,108
,23,713,175.85,178
,45,515,110.72,133
,61,459,126.25,151
,50,830,175.18,160
,12,86,28.29,139
,82,899,130.94,92
,12,937,174.3,89
,70,67,33.61,99
,27,930,178.39,106
,84,783,162.24,86
,38,188,18.85,172
,69,401,145.24,103
,49,273,137.46,83
,31,33,33.96,104
,93,13,92.9,62
,88,522,163.0,118
,99,760,142.01,140
,85,87,178.65,145
,69,753,83.83,80
,95,158,105.94,80
,47,536,90.58,135
,53,912,76.1,172
,81,831,138.34,134
,9,51,103.8,150
,83,172,99.53,99
,13,460,44.9,80
,28,627,165.6,105
,12,338,52.47,97
,32,288,180.77,111
,39,770,118.64,101
,7,246,150.76,86
,78,789,122.75,130
,65,299,170.46,64
,17,58,174.34,116
,97,453,159.16,157
,25,166,12.73,111
,9,931,110.93,118
,66,371,149.68,117
,100,770,51.21,96
,31,112,195.16,116
,92,63,166.11,153
,86,310,161.97,130
,93,729,104.63,72
,17,27,41.75,112
,51,51,109.1,180
,29,753,168.51,179
,72,559,138.34,107
,65,877,55.44,100
,50,909,33.55,177
,59,847,175.22,63
,68,457,92.38,68
,50,263,56.67,147
,67,737,145.83,75
,46,433,177.2,91
,80,839,37.49,104
,36,63,125.79,78
,92,61,80.42,147
,95,739,45.9,175
,84,780,121.9,115
,37,855,125.94,160
,8,838,103.56,172
,48,795,85.35,76
,73,697,79.7,100
,46,404,101.7,136
,88,340,127.23,112
,62,17,164.43,134
,17,570,183.2,162
,61,259,90.62,148
,5,884,36.82,99
,18,271,147.36,128
,29,944,17.22,91
,65,157,90.17,112
,24,618,64.99,171
,4,788,78.66,71
,23,12,177.1,131
,57,694,79.59,157
,21,433,87.69,65
,58,901,117.64,85
,41,69,20.36,148
,22,305,190.82,95
,77,922,22.72,146
,31,342,53.2,137
,94,91,103.8,138
,82,943,78.31,95
,3,588,115.92,89
,79,417,74.18,95
,14,108,134.16,144
,46,186,56.01,110
,4,294,99.65,71
,66,720,124.8,78
,61,495,50.38,87
,22,377,199.1,75
,11,116,83.61,166
,48,302,125.48,107
,87,590,86.59,130
,89,188,86.69,85
,39,17,56.25,95
,83,123,80.36,163
,71,882,57.07,66
,76,184,136.34,87
,41,876,168.99,145
,34,473,180.24,84
,89,16,84.02,177
,9,309,135.23,88
,31,454,137.4,175
,35,182,98.4,74
,26,278,164.79,160
,1,93,179.19,126
,56,814,36.77,151
,62,704,175.25,82
,89,41,28.83,167
,87,588,67.7,144
,28,756,29.02,128
,99,631,168.58,141
,10,532,135.45,156
,80,859,52.98,106
,89,912,197.33,60
,67,473,25.99,170
,94,697,31.28,155
,34,868,186.52,69
,67,757,128.49,153
,28,931,133.95,166
,77,656,38.56,99
,75,716,196.36,93
,95,599,88.97,66
,86,531,10.27,113
,19,40,186.31,61
,87,586,23.44,146
,88,948,193.27,76
,93,242,47.64,133
,12,828,113.65,80
,27,185,57.62,84
,97,400,113.23,108
,38,300,89.94,175
,48,608,75.27,133
,19,787,75.96,173
,70,161,172.83,66
,98,142,91.54,112
,75,513,18.28,100
,24,785,159.1,135
,76,437,91.45,142
,31,84,193.51,81
,100,866,174.45,142
,13,10,27.93,99
,13,46,150.96,177
,44,924,154.61,82
,66,978,14.48,131
,5,703,113.63,175
,6,378,20.66,61
,41,336,27.19,159
,25,408,105.57,135
,93,642,77.94,173
,83,495,25.6,147
,84,648,45.43,161
,22,796,110.62,77
,61,532,131.33,175
,65,391,71.88,87
,81,741,117.92,97
,30,663,44.65,119
,29,382,64.24,173
,50,202,153.84,116
,94,346,35.38,78
,12,671,141.65,74
,86,591,145.23,108
,4,720,73.26,72
,36,658,46.74,176
,18,835,30.07,171
,17,939,40.03,141
,59,172,178.94,87
,76,670,38.42,171
,3,349,30.28,74
,99,127,183.21,100
,89,374,185.89,128
,4,917,65.66,116
,41,941,159.35,90
,22,345,197.06,101
,25,375,51.88,98
,84,628,191.87,112
,92,682,74.93,133
,76,102,74.29,123
,34,129,42.89,132
,16,265,114.29,63
,39,813,197.92,161
,56,670,108.2,163
,13,705,152.32,70
,92,226,21.7,77
,40,31,97.38,119
,39,480,88.65,130
,41,906,193.88,125
,95,227,156.91,146
,40,319,94.11,84
,61,258,173.81,119
,97,624,95.89,161
,92,966,53.88,146
,34,654,196.04,148
,2,770,194.57,151
,100,273,199.4,134
,89,371,163.25,88
,21,211,18.29,72
,14,613,138.56,78
,10,643,111.28,179
,41,72,163.26,132
,30,662,80.14,178
,66,806,101.67,80
,34,40,155.27,107
,87,18,190.65,125
,88,270,76.96,131
,37,21,32.47,61
,99,311,104.8,141
,78,623,23.04,125
,88,104,198.96,106
,56,123,97.3,107
,57,54,119.93,93
,31,373,136.4,80
,35,357,146.05,115
,56,706,69.99,114
,4,813,103.17,161
,83,732,157.89,149
,18,806,199.92,102
,12,217,118.38,105
,61,46,59.91,132
,53,423,70.05,124
,18,684,40.54,64
,88,600,130.66,68
,65,44,33.68,131
,28,980,69.1,79
,16,295,72.46,173
,62,563,26.89,133
,61,156,24.94,124
,82,83,68.66,85
,68,634,118.82,162
,43,787,28.78,150
,88,20,152.59,91
,21,650,11.36,69
,32,77,141.17,134
,50,562,89.64,134
,25,844,35.17,138
,70,274,68.49,109
,95,373,195.67,122
,92,408,79.88,70
,44,612,119.64,169
,6,472,10.31,173
,14,829,99.92,84
,86,171,10.66,111
,87,55,157.41,83
,70,139,81.0,110
,61,854,171.13,93
,69,372,35.29,116
,27,164,43.21,143
,44,600,189.24,104
,8,853,46.68,113
,89,6,93.87,151
,49,299,121.63,74
,62,2,113.31,174
,13,986,103.49,152
,1,727,39.95,173
,5,936,93.26,152
,35,325,108.98,98
,50,910,88.32,116
,70,774,111.73,164
,100,849,95.39,108
,57,78,167.53,142
,2,179,69.28,68
,26,822,61.8,107
,65,543,104.29,112
,25,56,126.68,126
,93,880,121.99,114
,60,390,36.33,83
,31,956,81.15,175
,40,377,62.68,140
,2,656,151.65,177
,88,116,114.7,65
,61,907,46.0,88
,42,438,55.02,130
,73,956,22.32,90
,30,861,37.27,77
,1,715,138.77,120
,38,104,90.0,151
,98,870,63.41,94
,1,486,90.52,127
,20,816,28.9,173
,59,554,164.15,87
,63,893,127.89,77
,34,388,99.28,103
,50,108,158.77,125
,24,759,19.93,86
,50,708,32.87,156
,61,795,62.73,147
,41,499,70.37,101
,99,77,111.5,88
,66,929,184.38,124
,79,442,111.57,168
,8,560,13.08,80
,11,802,176.06,130
,12,402,160.55,146
,62,475,195.87,172
,74,1,16.07,77
,2,358,165.17,111
,7,998,79.06,87
,54,503,162.16,64
,16,454,95.67,78
,1,200,153.79,168
,43,722,103.35,69
,90,130,20.87,151
,19,443,130.24,82
,3,604,175.56,118
,36,330,167.37,78
,50,546,159.02,93
,40,724,129.65,144
,96,511,165.75,108
,8,793,11.66,133
,22,244,193.16,168
,31,877,62.79,81
,55,607,20.16,88
,53,294,73.28,96
,93,288,148.4,177
,52,205,127.4,80
,14,509,53.77,167
,24,575,176.43,105
,80,770,53.86,91
,55,763,21.1,129
,71,48,82.27,131
,26,241,23.79,117
,14,926,34.41,88
,26,84,190.99,170
,85,603,71.36,164
,74,540,195.66,137
,36,5,74.45,127
,37,670,88.35,147
,91,934,121.65,133
,43,679,134.22,118
,57,787,150.9,137
,85,717,20.81,103
,79,983,35.74,175
,11,30,43.98,154
,48,195,122.07,94
,24,436,102.42,90
,58,650,149.52,166
,92,421,61.76,98
,88,175,11.98,117
,46,241,141.31,174
,86,661,172.17,118
,38,376,123.67,103
,75,683,137.16,125
,68,281,93.96,72
,72,683,150.5,142
,87,385,86.04,73
,90,70,79.1,65
,45,396,177.79,94
,73,204,100.17,178
,87,15,67.31,60
,6,226,192.66,162
,47,919,97.65,84
,55,632,167.91,167
,55,37,108.95,154
,88,712,108.04,155
,53,270,60.57,173
,9,806,36.34,93
,48,96,96.74,84
,8,985,179.9,61
,55,481,189.55,165
,41,4,33.72,104
,73,554,84.48,125
,84,796,103.89,127
,96,931,27.62,134
,37,82,183.01,85
,83,984,52.96,114
,92,843,47.05,136
,98,706,64.98,72
,47,969,39.43,135
,95,128,64.88,77
,12,637,53.81,88
,88,945,74.38,74
,89,998,115.44,72
,79,708,36.2,112
,7,169,118.71,105
,32,341,47.75,136
,14,606,49.08,116
,46,115,39.62,166
,74,35,158.82,96
,69,133,153.95,160
,24,997,32.5,156
,13,390,198.49,140
,16,915,156.58,131
,90,805,73.37,142
,40,690,16.14,175
,90,560,105.27,113
,33,44,173.59,94
,7,559,52.24,137
,8,238,106.97,148
,75,881,80.77,96
,96,118,33.78,62
,62,44,17.06,121
,34,425,13.67,77
,41,983,72.51,131
,6,678,96.74,150
,90,793,59.32,150
,69,535,12.46,104
,11,342,185.77,143
,90,774,176.66,134
,14,219,69.94,94
,1,622,60.22,124
,66,187,118.93,178
,69,321,17.02,62
,47,623,66.61,122
,99,507,90.38,69
,38,161,71.37,74
,22,659,180.99,168
,57,833,99.33,87
,23,717,128.71,124
,93,832,125.41,149
,83,921,68.51,165
,45,416,68.86,156
,49,164,136.35,81
,51,482,164.58,179
,82,128,57.65,65
,48,258,70.69,141
,24,471,16.45,157
,91,303,118.35,109
,43,985,163.24,131
,100,365,128.43,91
,69,387,67.79,109
,67,362,47.8,156
,50,749,104.42,146
,56,39,173.47,175
,72,284,55.14,124
,2,304,83.57,142
,16,754,140.37,153
,82,785,99.89,159
,29,562,177.81,79
,96,673,70.37,87
,38,865,63.69,113
,89,859,56.5,82
,32,687,196.69,166
,70,243,174.45,171
,95,295,127.83,96
,98,788,169.48,174
,45,497,35.97,65
,13,10,152.13,65
,76,606,113.37,178
,74,323,32.09,109
,7,253,78.72,60
,93,384,109.13,66
,77,779,153.7,91
,79,801,85.31,98
,83,106,120.06,137
,92,881,174.13,157
,45,100,80.68,163
,37,462,165.44,143
,71,939,121.77,129
,41,713,108.71,71
,38,443,71.25,102
,73,508,124.9,121
,10,284,51.05,91
,76,980,90.16,172
,97,432,116.81,151
,54,693,182.76,65
,73,729,26.89,165
,14,152,67.22,161
,29,63,99.28,176
,73,2,110.61,156
,49,531,54.08,90
,60,721,68.7,147
,23,97,189.03,71
,64,338,105.04,73
,17,907,56.62,108
,33,203,141.86,90
,2,211,137.82,81
,96,364,127.27,128
,1,304,131.63,114
,6,446,128.23,113
,1,976,66.17,97
,5,625,87.32,127
,54,521,178.36,84
,17,309,31.59,137
,84,800,36.31,100
,31,619,190.91,76
,64,922,184.88,167
,32,183,116.04,92
,73,754,19.77,65
,78,789,127.83,104
,25,228,179.83,71
,10,911,41.83,105
,84,295,52.45,86
,7,403,96.58,148
,33,295,21.63,148
,57,45,83.18,89
,69,286,99.63,104
,60,487,85.87,147
,10,311,164.1,127
,69,663,55.02,117
,18,77,67.48,98
,64,209,142.94,87
,21,371,63.4,79
,38,727,189.36,96
,21,274,188.7,66
,37,241,16.87,88
,4,839,57.64,83
,34,123,27.54,139
,43,34,129.2,145
,24,416,51.35,175
,67,94,31.18,131
,39,612,98.27,134
,23,713,56.67,111
,41,84,122.95,114
,44,502,179.42,83
,61,984,173.28,131
,95,615,143.79,167
,53,818,196.31,174
,43,379,97.35,105
,53,158,52.13,81
,79,213,164.19,93
,41,626,62.57,96
,9,498,104.55,152
,78,800,97.1,97
,56,206,136.85,99
,63,13,160.84,174
,14,665,166.31,180
,10,309,110.11,67
,8,896,146.55,115
,6,737,111.4,101
,99,191,19.53,77
,72,625,110.52,77
,45,718,162.36,165
,43,304,133.32,137
,55,726,134.62,126
,61,392,78.07,73
,99,641,183.08,112
,43,532,193.54,125
,93,829,19.58,158
,93,944,84.84,85
,59,419,105.62,80
,73,664,147.22,87
,89,598,164.55,68
,17,746,197.21,164
,79,374,72.58,67
,42,515,167.24,113
,63,246,130.87,97
,54,863,106.67,93
,20,143,89.4,132
,67,613,115.88,105
,55,490,198.24,139
,40,619,61.5,94
,82,383,103.52,170
,51,482,14.9,118
,34,598,163.22,112
,38,244,56.5,112
,75,973,193.32,86
,95,307,35.46,163
,56,559,186.13,174
,84,454,120.73,148
,90,78,185.7,142
,19,301,175.55,130
,79,592,58.58,90
,86,771,129.82,80
,99,77,136.18,170
,60,12,162.4,128
,25,140,178.02,148
,27,282,157.13,155
,53,788,60.26,161
,17,126,137.71,156
,78,214,67.66,116
,66,201,32.75,80
,83,890,171.36,179
,73,703,194.74,106
,13,699,15.23,146
,64,454,170.82,92
,32,952,14.2,114
,25,750,132.07,74
,13,539,146.09,91
,1,135,12.53,153
,27,209,193.32,74
,58,205,32.33,79
,95,489,29.38,120
,29,269,163.26,174
,50,531,168.46,102
,91,798,15.47,150
,24,982,20.46,170
,39,312,121.67,160
,97,630,41.76,179
,60,529,51.07,60
,94,921,61.78,123
,73,895,38.67,143
,20,49,28.4,83
,67,672,183.56,143
,24,131,13.93,89
,73,480,191.04,119
,69,878,128.53,123
,46,173,57.85,174
,43,475,156.5,137
,52,465,33.86,102
,98,166,61.04,72
,82,900,51.29,122
,21,124,129.66,81
,97,586,111.99,78
,42,837,182.16,140
,40,816,170.86,177
,62,677,166.78,81
,77,445,179.16,129
,5,630,147.19,155
,86,621,194.59,163
,2,828,47.67,139
,66,655,136.21,92
,34,354,187.46,88
,96,797,35.44,166
,21,983,176.46,137
,47,614,74.33,108
,64,8,90.11,62
,83,194,18.04,132
,35,215,83.71,180
,66,626,15.02,134
,89,394,83.7,145
,14,330,123.77,177
,45,319,164.34,92
,64,450,143.96,140
,50,394,111.24,83
,53,105,84.77,132
,32,35,76.91,166
,60,46,59.02,151
,58,666,24.12,143
,91,47,32.54,67
,55,112,109.67,100
,62,104,110.64,80
,22,618,89.17,93
,98,234,99.48,109
,87,167,165.47,132
,28,251,100.33,141
,58,548,126.04,119
,62,627,197.78,169
,89,787,52.41,93
,23,977,183.03,69
,8,607,81.11,112
,12,426,156.7,114
,74,896,138.58,68
,71,382,152.26,87
,75,79,108.57,144
,33,746,98.68,111
,9,900,171.64,131
,13,961,24.15,86
,20,156,33.5,149
,79,934,160.57,105
,49,322,137.66,147
,88,274,85.97,79
,46,762,78.2,93
,9,344,130.46,160
,56,10,192.91,105
,82,675,172.6,62
,52,615,15.84,172
,81,336,95.19,134
,44,986,45.65,71
,81,528,117.88,79
,32,790,108.82,159
,51,955,12.07,82
,50,220,45.12,94
,54,476,19.32,103
,59,595,134.2,98
,65,784,146.42,151
,46,126,60.44,97
,13,139,163.15,141
,59,245,106.0,150
,57,731,10.95,146
,54,34,117.59,156
,56,72,74.33,176
,5,604,146.12,130
,28,802,125.73,148
,13,198,48.56,98
,100,352,31.94,145
,48,549,43.2,87
,55,420,109.52,75
,90,569,84.5,69
,81,552,64.83,100
,30,939,11.69,90
,87,477,29.57,129
,81,877,191.97,167
,6,503,21.41,107
,85,861,141.87,116
,40,539,165.57,163
,62,546,27.48,63
,99,990,44.18,160
,22,13,58.8,145
,92,15,141.24,105
,14,245,44.39,83
,72,172,68.09,140
,95,289,35.89,131
,12,109,63.66,71
,36,375,77.8,149
,73,533,80.55,167
,73,75,32.28,167
,9,547,122.03,160
,31,10,51.28,166
,40,161,149.14,137
,96,499,198.55,123
,99,47,115.24,117
,94,998,160.38,169
,85,463,80.91,77
,12,207,193.98,86
,71,575,168.28,115
,78,295,103.44,125
,39,575,26.41,76
,1,942,74.64,70
,83,724,104.95,90
,70,57,23.43,128
,14,595,43.81,97
,69,794,42.36,62
,38,246,17.44,132
,72,420,92.14,175
,94,158,22.16,118
,51,260,110.8,118
,46,472,48.01,143
,43,766,123.74,70
,6,756,108.39,166
,88,784,136.28,73
,97,345,52.88,92
,87,936,103.77,103
,79,580,43.07,89
,68,425,151.11,128
,88,261,34.51,179
,98,798,29.48,129
,11,696,179.88,162
,33,816,172.39,171
,49,589,191.29,136
,72,990,17.25,169
,23,53,171.14,123
,59,977,72.96,144
,88,890,42.41,173
,43,871,161.45,83
,100,843,43.2,105
,23,500,117.53,77
,25,202,197.03,107
,83,99,84.21,75
,97,987,104.17,98
,30,784,196.92,76
,7,226,44.13,73
,49,77,157.37,87
,67,50,50.43,70
,52,819,69.17,125
,95,899,50.02,168
,75,765,26.72,66
,72,843,192.63,120
,27,365,152.26,95
,3,35,25.31,120
,30,697,140.81,173
,58,638,89.48,163
,27,405,61.52,89
,6,388,55.95,138
,10,109,119.6,116
,55,744,27.94,147
,21,277,18.69,118
,98,288,51.25,125
,70,193,94.14,118
,20,937,178.74,121
,46,691,129.21,91
,52,435,38.55,117
,43,9,85.47,104
,71,830,145.44,172
,70,886,86.36,137
,52,660,86.73,108
,63,811,141.42,77
,43,619,181.61,126
,67,840,19.78,159
,95,322,132.87,66
,6,294,194.51,96
,84,238,134.68,88
,82,120,87.58,110
,96,985,156.88,153
,11,490,39.41,75
,58,754,197.15,114
,36,170,66.21,61
,98,796,198.22,177
,20,413,106.05,91
,39,519,55.49,88
,1,474,12.72,136
,53,87,160.35,167
,17,105,148.61,162
,94,674,121.97,110
,57,901,13.44,106
,75,218,44.13,169
,81,554,156.33,78
,76,728,101.72,142
,16,964,150.87,102
,29,68,186.2,88
,68,395,64.36,78
,61,43,76.51,77
,99,66,43.78,62
,32,554,85.47,158
,43,630,160.4,160
,32,523,102.3,95
,97,741,99.0,112
,64,288,191.48,112
,8,294,175.94,174
,18,337,11.24,164
,89,393,141.12,97
,88,401,187.19,139
,54,776,32.98,114
,88,151,62.58,93
,77,148,21.91,167
,69,17,118.48,89
,98,723,154.21,61
,56,408,111.38,125
,76,607,133.72,175
,80,763,26.03,138
,29,682,68.32,90
,47,106,110.12,157
,91,264,103.36,105
,22,84,36.52,164
,3,299,158.24,105
,45,47,21.89,83
,73,838,17.79,142
,38,216,84.4,127
,100,590,103.17,160
,84,464,75.61,89
